ID_USER,DATE,LAT,LONG,ID_VENUE,SUBCATEGORIA_VENUE,CATEGORIA_MAE,PAIS,CIDADE,BAIRRO,GENERO,OFFSET_HORARIO,CIDADE__PELO_METODO2,PAIS_PELO_METODO2,geometry,index_right,Bairro
 50611861,2014-05-29T15:31:29Z,-25.4348191896,-49.3054183049,4c05a1c2761ac9b668d61f74,General-College-&-University,Education,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.3054183049 -25.4348191896),41,BIGORRILHO
 11034625,2014-05-29T15:32:33Z,-25.4394380011,-49.2687892914,4b94ec62f964a520f08734e3,College-&-University,College-&-Education,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2687892914 -25.4394380011),26,REBOUÇAS
 9059949,2014-05-29T15:32:36Z,-25.4506616822,-49.2657905817,4bddf2d70ee3a593224d2fb0,Churrascaria,Churrascaria,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2657905817 -25.4506616822),26,REBOUÇAS
 83055499,2014-05-29T15:32:37Z,-25.4192364118,-49.2711459858,4e1c65f452b1c2b69f346f30,Restaurant,Restaurant,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2711459858 -25.4192364118),6,SÃO FRANCISCO
 63005466,2014-05-29T15:33:36Z,-25.484449375,-49.3297881727,5202f25d498e0eaaa306e6c9,Home-(private),Home,Brasil,notFound,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.3297881727 -25.484449375),47,FAZENDINHA
 13230488,2014-05-29T15:33:52Z,-25.4670897076,-49.2862001297,4d5163bc7ee1a35d752f8f34,German-Restaurant,German,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2862001297 -25.4670897076),0,ÁGUA VERDE
 63005466,2014-05-29T15:33:56Z,-25.484449375,-49.3297881727,5259b1ab498e838bf91e738e,Home-(private),Home,Brasil,notFound,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.3297881727 -25.484449375),47,FAZENDINHA
 28598614,2014-05-29T15:35:10Z,-25.4114452593,-49.2284034446,500de18529a6fb56a63c56d6,Home-(private),Home,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2284034446 -25.4114452593),40,BACACHERI
 22924947,2014-05-29T15:35:18Z,-25.4521099792,-49.2694759369,4bc92bfe68f976b057fe5c83,Fast-Food-Restaurant,Fast-Food,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.2694759369 -25.4521099792),26,REBOUÇAS
 77868248,2014-05-29T15:35:36Z,-25.477856724,-49.2906332016,4b45d281f964a520c71026e3,Mall,Mall,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2906332016 -25.477856724),20,PORTÃO
